feature,importance
EXT_SOURCE_2,80.4
EXT_SOURCE_3,69.2
PAYMENT_RATE,39.2
DAYS_BIRTH,30.8
CODE_GENDER,24.4
INSTAL_AMT_PAYMENT_MIN,24.2
PREV_APP_CREDIT_PERC_MEAN,22.8
INSTAL_DPD_MEAN,22.0
DAYS_EMPLOYED,22.0
AMT_ANNUITY,20.2
DAYS_EMPLOYED_PERC,19.2
INSTAL_PAYMENT_PERC_MEAN,18.0
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,17.2
DAYS_LAST_PHONE_CHANGE,17.0
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,16.6
INSTAL_PAYMENT_DIFF_MEAN,16.2
ANNUITY_INCOME_PERC,14.6
NAME_EDUCATION_TYPE_Highereducation,13.6
APPROVED_AMT_DOWN_PAYMENT_MAX,13.4
APPROVED_APP_CREDIT_PERC_MAX,12.8
PREV_CNT_PAYMENT_MEAN,11.8
INSTAL_AMT_PAYMENT_SUM,11.8
PREV_APP_CREDIT_PERC_MIN,10.2
PREV_CODE_REJECT_REASON_XAP_MEAN,9.8
ACTIVE_DAYS_CREDIT_MAX,9.8
AMT_CREDIT,9.8
POS_MONTHS_BALANCE_SIZE,9.6
INSTAL_DAYS_ENTRY_PAYMENT_SUM,9.4
DAYS_ID_PUBLISH,9.4
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,9.2
PREV_AMT_DOWN_PAYMENT_MAX,9.0
BURO_AMT_CREDIT_SUM_DEBT_MEAN,8.6
PREV_APP_CREDIT_PERC_MAX,8.6
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,7.8
APPROVED_CNT_PAYMENT_MEAN,7.6
REGION_RATING_CLIENT,7.6
BURO_DAYS_CREDIT_MAX,7.4
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,7.4
PREV_DAYS_DECISION_MIN,7.4
BURO_DAYS_CREDIT_MEAN,7.2
CLOSED_AMT_CREDIT_SUM_MAX,7.2
INSTAL_DBD_SUM,7.2
BURO_CREDIT_ACTIVE_Closed_MEAN,7.2
NAME_EDUCATION_TYPE_Secondarysecondaryspecial,7.0
ACTIVE_DAYS_CREDIT_MEAN,6.4
BURO_DAYS_CREDIT_ENDDATE_MEAN,6.4
BURO_AMT_CREDIT_SUM_MEAN,6.2
APPROVED_DAYS_DECISION_MIN,6.2
APPROVED_AMT_GOODS_PRICE_MAX,5.8
CLOSED_AMT_CREDIT_SUM_SUM,5.8
PREV_NAME_YIELD_GROUP_high_MEAN,5.6
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,5.6
APPROVED_AMT_ANNUITY_MEAN,5.4
INSTAL_DPD_SUM,5.4
INSTAL_AMT_INSTALMENT_SUM,5.2
PREV_AMT_ANNUITY_MIN,5.0
BURO_DAYS_CREDIT_MIN,5.0
INSTAL_PAYMENT_DIFF_SUM,5.0
INSTAL_AMT_INSTALMENT_MAX,4.8
INSTAL_AMT_PAYMENT_MEAN,4.8
PREV_AMT_GOODS_PRICE_MIN,4.6
INSTAL_PAYMENT_DIFF_MAX,4.6
PREV_HOUR_APPR_PROCESS_START_MEAN,4.4
INCOME_CREDIT_PERC,4.4
YEARS_BEGINEXPLUATATION_AVG,4.4
APPROVED_APP_CREDIT_PERC_MEAN,4.4
REGION_POPULATION_RELATIVE,4.2
POS_COUNT,4.2
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,4.2
INSTAL_DBD_MEAN,4.0
INSTAL_AMT_PAYMENT_MAX,4.0
FLAG_OWN_CAR,4.0
BURO_DAYS_CREDIT_UPDATE_MEAN,4.0
CLOSED_AMT_CREDIT_SUM_MEAN,4.0
INSTAL_PAYMENT_PERC_SUM,3.8
PREV_NAME_YIELD_GROUP_low_normal_MEAN,3.8
INSTAL_DPD_MAX,3.6
APPROVED_CNT_PAYMENT_SUM,3.6
PREV_DAYS_DECISION_MEAN,3.6
PREV_NAME_CONTRACT_TYPE_Consumerloans_MEAN,3.6
APPROVED_AMT_ANNUITY_MAX,3.6
APPROVED_AMT_CREDIT_MIN,3.4
BURO_DAYS_CREDIT_ENDDATE_MAX,3.4
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,3.4
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,3.4
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,3.2
BURO_CREDIT_ACTIVE_Active_MEAN,3.2
APPROVED_HOUR_APPR_PROCESS_START_MEAN,3.2
PREV_NAME_TYPE_SUITE_nan_MEAN,3.2
PREV_NAME_CONTRACT_TYPE_Revolvingloans_MEAN,3.0
BURO_AMT_CREDIT_SUM_DEBT_MAX,3.0
PREV_NAME_YIELD_GROUP_low_action_MEAN,3.0
INSTAL_DAYS_ENTRY_PAYMENT_MAX,3.0
APPROVED_APP_CREDIT_PERC_MIN,3.0
DAYS_REGISTRATION,3.0
APPROVED_AMT_GOODS_PRICE_MEAN,3.0
